participant_name,market,line,type,ev
John Collins,threes,0.5,over,16.349999999999994
Lauri Markkanen,turnovers,1.5,under,15.709999999999994
Andrew Wiggins,blockssteals,1.5,under,15.709999999999994
Collin Sexton,assists,5.5,under,15.450000000000003
John Collins,rebounds,7.5,under,15.450000000000003
Kris Dunn,steals,1.5,under,14.989999999999995
Simone Fontecchio,blockssteals,0.5,over,14.400000000000006
Lauri Markkanen,steals,0.5,over,14.16
Lauri Markkanen,rebounds,10.5,under,14.129999999999995
Simone Fontecchio,turnovers,0.5,over,12.869999999999997
Stephen Curry,steals,0.5,over,12.869999999999997
Kelly Olynyk,blockssteals,0.5,over,12.299999999999997
Lauri Markkanen,points,23.5,over,11.340000000000003
John Collins,points,13.5,under,10.420000000000002
Collin Sexton,threes,1.5,under,9.93
Kelly Olynyk,threes,0.5,under,8.939999999999998
John Collins,threes,0.5,over,8.939999999999998
Lauri Markkanen,rebounds,8.5,over,7.18
Klay Thompson,steals,0.5,over,6.899999999999999
Tyrese Haliburton,threes,3.5,under,6.899999999999999
Derrick White,assists,3.5,over,6.899999999999999
Simone Fontecchio,threes,1.5,over,6.899999999999999
Collin Sexton,assistspointsrebounds,25.5,over,6.119999999999997
Kevon Looney,assistsrebounds,7.5,over,5.880000000000003
Kris Dunn,assists,4.5,over,5.880000000000003
Jrue Holiday,rebounds,4.5,over,5.880000000000003
Walker Kessler,rebounds,6.5,under,5.060000000000002
Coby White,assistspoints,29.5,over,5.060000000000002
Kris Dunn,blockssteals,1.5,over,5.060000000000002
Stephen Curry,rebounds,3.5,over,5.060000000000002
