participant_name,ev,market,line,type,over_odds,under_odds
Lauri Markkanen,15.214999999999996,turnovers,1.5,under,170.0,-227.5
Jordan Clarkson,14.854999999999997,blockssteals,0.5,over,-222.5,167.5
Keyonte George,14.854999999999997,steals,0.5,under,167.5,-225.0
Keyonte George,14.365000000000002,assists,3.5,under,160.0,-227.5
Lauri Markkanen,13.340000000000003,blocks,0.5,under,155.0,-210.0
Lauri Markkanen,12.684999999999999,blockssteals,1.5,under,151.0,-200.0
Kris Dunn,12.030000000000001,rebounds,2.5,over,-200.0,145.0
Jordan Clarkson,11.82,threes,1.5,over,-195.0,145.0
Keyonte George,11.61,threes,1.5,over,-190.0,145.0
Walker Kessler,11.61,steals,0.5,under,145.0,-190.0
Lauri Markkanen,10.495000000000001,points,23.5,over,-190.0,134.0
Klay Thompson,10.399999999999999,rebounds,3.5,under,135.0,-185.0
Keyonte George,9.93,blockssteals,0.5,under,135.0,-185.0
Jordan Clarkson,9.75,points,17.5,over,-182.0,130.0
Collin Sexton,9.409999999999997,threes,1.5,under,130.0,-175.0
Kelly Olynyk,9.329999999999998,turnovers,1.5,under,127.5,-175.0
Kelly Olynyk,9.094999999999999,turnovers,1.5,under,127.5,-172.5
Keyonte George,8.939999999999998,turnovers,1.5,over,-166.0,130.0
Walker Kessler,7.799999999999997,points,6.5,over,-165.0,120.0
Klay Thompson,7.520000000000003,steals,0.5,over,-160.0,120.0
Collin Sexton,7.210000000000001,steals,0.5,over,-155.0,120.0
Walker Kessler,6.859999999999999,blockssteals,2.5,under,115.5,-160.0
Dejounte Murray,6.770000000000003,assistspointsrebounds,31.5,over,-157.0,115.0
Dejounte Murray,6.659999999999997,assistspointsrebounds,31.5,over,-157.0,114.0
Lauri Markkanen,6.614999999999998,rebounds,8.5,over,-150.0,117.5
Dejounte Murray,6.119999999999997,assistspointsrebounds,31.5,over,-152.0,112.0
John Collins,5.800000000000001,steals,0.5,under,111.0,-146.5
Kris Dunn,5.785,blockssteals,1.5,under,110.0,-150.0
Andrew Wiggins,5.75,points,13.5,under,110.0,-150.0
Collin Sexton,5.460000000000001,turnovers,1.5,over,-145.0,110.0
Stephen Curry,5.234999999999999,threes,4.5,under,110.0,-142.5
Pascal Siakam,5.134999999999998,assistspointsrebounds,29.5,over,-143.0,108.0
Andrew Wiggins,5.060000000000002,blocks,0.5,under,110.0,-145.0
Pascal Siakam,5.039999999999999,assistspointsrebounds,29.5,over,-143.0,108.0
Pascal Siakam,5.015000000000001,assistspointsrebounds,29.5,over,-143.0,107.0
Stephen Curry,4.98,assists,5.5,over,-140.0,109.5
Collin Sexton,4.940000000000001,rebounds,2.5,under,107.5,-142.5
Pascal Siakam,4.93,assistspointsrebounds,29.5,over,-144.0,107.0
Pascal Siakam,4.859999999999999,assistspoints,23.5,over,-143.5,107.0
Pascal Siakam,4.844999999999999,assistspointsrebounds,29.5,over,-142.0,107.0
Keyonte George,4.799999999999997,assistspoints,12.5,under,107.0,-141.5
Klay Thompson,4.770000000000003,threes,3.5,over,-140.0,107.0
Pascal Siakam,4.650000000000002,assistspoints,23.5,over,-142.0,106.0
Klay Thompson,4.579999999999998,threes,3.5,over,-140.0,106.0
