participant_name,ev,market,line,game,date
Jonathan Isaac,25.0,player_points_rebounds_over_under,9.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_points_rebounds_over_under.json,2024-01-26
Markelle Fultz,24.390000000000004,player_rebounds_over_under,3.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_rebounds_over_under.json,2024-01-26
Jonathan Isaac,24.39,player_assists_points_rebounds_over_under,9.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_points_rebounds_over_under.json,2024-01-26
Jaren Jackson Jr.,24.259999999999998,player_assists_over_under,2.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_over_under.json,2024-01-26
Onyeka Okongwu,23.325,player_points_over_under,8.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_points_over_under.json,2024-01-26
Clint Capela,22.88,player_steals_over_under,0.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_steals_over_under.json,2024-01-26
Onyeka Okongwu,22.709999999999997,player_assists_points_rebounds_over_under,16.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_assists_points_rebounds_over_under.json,2024-01-26
Grant Williams,22.564999999999998,player_points_over_under,9.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_points_over_under.json,2024-01-26
Deandre Ayton,22.430000000000007,player_assists_over_under,1.5,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_assists_over_under.json,2024-01-26
Luka Doncic,22.38,player_points_over_under,37.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_points_over_under.json,2024-01-26
Brook Lopez,22.119999999999997,player_blocks_over_under,2.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_blocks_over_under.json,2024-01-26
Khris Middleton,21.689999999999998,player_assists_points_over_under,22.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_points_over_under.json,2024-01-26
Jaren Jackson Jr.,21.665,player_blocks_over_under,1.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_blocks_over_under.json,2024-01-26
Jordan Hawkins,21.450000000000003,player_points_over_under,10.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_points_over_under.json,2024-01-26
Onyeka Okongwu,20.544999999999998,player_rebounds_over_under,6.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_rebounds_over_under.json,2024-01-26
Donovan Mitchell,20.325,player_steals_over_under,1.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_steals_over_under.json,2024-01-26
Kenrich Williams,20.260000000000005,player_blocks_steals_over_under,0.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_blocks_steals_over_under.json,2024-01-26
Herbert Jones,20.260000000000005,player_assists_rebounds_over_under,5.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_assists_rebounds_over_under.json,2024-01-26
Myles Turner,19.35,player_steals_over_under,0.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_steals_over_under.json,2024-01-26
Brook Lopez,19.299999999999997,player_steals_over_under,0.5,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_steals_over_under.json,2024-01-26
Kawhi Leonard,19.020000000000003,player_steals_over_under,1.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_steals_over_under.json,2024-01-26
Bradley Beal,18.150000000000002,player_rebounds_over_under,4.5,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_rebounds_over_under.json,2024-01-26
Jaren Jackson Jr.,18.115,player_points_over_under,25.5,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_points_over_under.json,2024-01-26
Dejounte Murray,16.129999999999995,player_blocks_steals_over_under,1.5,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_blocks_steals_over_under.json,2024-01-26
Kawhi Leonard,16.0,player_blocks_steals_over_under,2.5,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_blocks_steals_over_under.json,2024-01-26
Jordan Hawkins,16.0,player_rebounds_over_under,2.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_rebounds_over_under.json,2024-01-26
Jonas Valanciunas,15.299999999999997,player_blocks_steals_over_under,1.5,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_blocks_steals_over_under.json,2024-01-26
