participant_name,ev,market,line,type,game,date,over_odds,under_odds
Buddy Hield,16.129999999999995,player_threes_over_under,3.5,under,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_threes_over_under.json,2024-01-26,175.0,-245.0
Franz Wagner,16.0,player_threes_over_under,1.5,over,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_threes_over_under.json,2024-01-26,-240.0,175.0
Kawhi Leonard,16.0,player_blocks_steals_over_under,2.5,over,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_blocks_steals_over_under.json,2024-01-26,-240.0,175.0
Jordan Hawkins,16.0,player_rebounds_over_under,2.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_rebounds_over_under.json,2024-01-26,175.0,-240.0
Jonas Valanciunas,15.299999999999997,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_blocks_steals_over_under.json,2024-01-26,170.0,-230.0
Jusuf Nurkic,14.870000000000005,player_assists_over_under,2.5,over,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_assists_over_under.json,2024-01-26,-230.0,165.0
Shai Gilgeous-Alexander,14.719999999999999,player_threes_over_under,0.5,over,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_threes_over_under.json,2024-01-26,-225.0,165.0
Luguentz Dort,14.560000000000002,player_blocks_over_under,0.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_blocks_over_under.json,2024-01-26,165.0,-220.0
Jalen Smith,14.129999999999995,player_threes_over_under,0.5,under,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_threes_over_under.json,2024-01-26,160.0,-220.0
Jonas Valanciunas,14.129999999999995,player_blocks_over_under,0.5,over,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_blocks_over_under.json,2024-01-26,-220.0,160.0
Devin Vassell,13.96,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_blocks_steals_over_under.json,2024-01-26,160.0,-215.0
Jaren Jackson Jr.,13.96,player_assists_rebounds_over_under,8.5,under,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_rebounds_over_under.json,2024-01-26,160.0,-215.0
Herbert Jones,13.77,player_threes_over_under,1.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_threes_over_under.json,2024-01-26,157.5,-216.0
Malcolm Brogdon,13.54,player_points_over_under,19.5,under,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_points_over_under.json,2024-01-26,150.0,-230.0
Max Strus,13.509999999999998,player_assists_points_rebounds_over_under,19.5,under,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_points_rebounds_over_under.json,2024-01-26,155.0,-215.0
Franz Wagner,13.509999999999998,player_assists_rebounds_over_under,8.5,under,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_rebounds_over_under.json,2024-01-26,155.0,-215.0
Dennis Schroder,13.340000000000003,player_rebounds_over_under,2.5,over,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_rebounds_over_under.json,2024-01-26,-210.0,155.0
Markelle Fultz,13.149999999999999,player_assists_rebounds_over_under,7.5,under,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_assists_rebounds_over_under.json,2024-01-26,155.0,-205.0
Kawhi Leonard,13.059999999999999,player_threes_over_under,1.5,over,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_threes_over_under.json,2024-01-26,-210.5,152.5
James Harden,12.769999999999996,player_threes_over_under,3.5,under,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_threes_over_under.json,2024-01-26,152.5,-210.0
Josh Green,12.689999999999998,player_threes_over_under,1.5,over,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_threes_over_under.json,2024-01-26,-205.0,150.0
Cason Wallace,12.689999999999998,player_steals_over_under,0.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_steals_over_under.json,2024-01-26,150.0,-205.0
Jonathan Isaac,12.5,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-26__67241253d140d955dddb832f699e661a__player_blocks_steals_over_under.json,2024-01-26,150.0,-200.0
Isaiah Joe,11.130000000000003,player_rebounds_over_under,3.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_rebounds_over_under.json,2024-01-26,140.0,-190.0
Shai Gilgeous-Alexander,11.130000000000003,player_rebounds_over_under,5.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_rebounds_over_under.json,2024-01-26,138.0,-190.0
