participant_name,ev,market,line,type,game,date,over_odds,under_odds
Cody Martin,46.56,player_points_over_under,6.5,under,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_points_over_under.json,2024-01-26,2800.0,-3000.0
Jeff Green,42.81999999999999,player_threes_over_under,0.5,under,fantasy__2024-01-26__b9f8409d6b736501d3a13c02b49d75bd__player_threes_over_under.json,2024-01-26,1200.0,-20000.0
Mason Plumlee,42.81999999999999,player_blocks_over_under,0.5,under,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_blocks_over_under.json,2024-01-26,1200.0,-20000.0
Kawhi Leonard,42.790000000000006,player_assists_rebounds_over_under,10.5,under,fantasy__2024-01-26__ad35abdd9e43190893100761f3749f28__player_assists_rebounds_over_under.json,2024-01-26,1200.0,-10000.0
Max Strus,42.790000000000006,player_assists_points_over_under,15.5,under,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_points_over_under.json,2024-01-26,1200.0,-10000.0
Larry Nance Jr.,42.22,player_threes_over_under,0.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_threes_over_under.json,2024-01-26,1100.0,-8000.0
Jae Crowder,42.22,player_assists_rebounds_over_under,3.5,under,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_assists_rebounds_over_under.json,2024-01-26,1100.0,-8000.0
Tim Hardaway Jr.,42.22,player_steals_over_under,0.5,under,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_steals_over_under.json,2024-01-26,1100.0,-8000.0
Grayson Allen,42.19,player_blocks_steals_over_under,1.5,under,fantasy__2024-01-26__5fd904081e3fb35e06cf4fc6c9e181dc__player_blocks_steals_over_under.json,2024-01-26,1100.0,-6000.0
Georges Niang,42.19,player_blocks_steals_over_under,0.5,under,fantasy__2024-01-26__db306f30ccdf5bfad5bf666b39d83961__player_blocks_steals_over_under.json,2024-01-26,1100.0,-6000.0
Cedi Osman,42.19,player_assists_over_under,1.5,under,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_assists_over_under.json,2024-01-26,1100.0,-6000.0
Jalen Williams,41.510000000000005,player_blocks_over_under,0.5,under,fantasy__2024-01-26__d24a0acecbfc876ceb8ff9294990a55f__player_blocks_over_under.json,2024-01-26,1000.0,-5000.0
Jeremy Sochan,41.510000000000005,player_blocks_over_under,0.5,under,fantasy__2024-01-26__91b45a8b36a95c8e27ddb07042eba39d__player_blocks_over_under.json,2024-01-26,1000.0,-5000.0
Luka Doncic,41.510000000000005,player_blocks_over_under,0.5,under,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_blocks_over_under.json,2024-01-26,1000.0,-5000.0
Luka Doncic,41.510000000000005,player_steals_over_under,1.5,under,fantasy__2024-01-26__3f46796f90363fe73044e2a9a783bd39__player_steals_over_under.json,2024-01-26,1000.0,-5000.0
