participant_name,ev,market,line
Alec Burks,35.760000000000005,player_rebounds_over_under,2.5
Ausar Thompson,42.17,player_rebounds_over_under,5.5
Bojan Bogdanovic,7.520000000000003,player_rebounds_over_under,3.5
Cade Cunningham,5.109999999999999,player_rebounds_over_under,3.5
Josh Hart,5.460000000000001,player_rebounds_over_under,5.5
Quentin Grimes,10.469999999999999,player_rebounds_over_under,1.5
Kentavious Caldwell-Pope,9.770000000000003,player_rebounds_over_under,2.5
Nicolas Batum,13.509999999999998,player_rebounds_over_under,4.5
Patrick Beverley,7.240000000000002,player_rebounds_over_under,4.5
Peyton Watson,49.14,player_rebounds_over_under,2.5
Reggie Jackson,26.78,player_rebounds_over_under,1.5
Dillon Brooks,7.799999999999997,player_rebounds_over_under,3.5
Dorian Finney-Smith,37.06,player_rebounds_over_under,5.5
Fred Vanvleet,10.670000000000002,player_rebounds_over_under,3.5
Royce O'Neale,5.159999999999997,player_rebounds_over_under,4.5
Spencer Dinwiddie,6.140000000000001,player_rebounds_over_under,3.5
Jrue Holiday,49.150000000000006,player_rebounds_over_under,5.5
Kawhi Leonard,5.799999999999997,player_rebounds_over_under,6.5
Paul George,6.460000000000001,player_rebounds_over_under,4.5
Brandon Miller,8.07,player_rebounds_over_under,3.5
Collin Sexton,5.850000000000001,player_rebounds_over_under,2.5
John Collins,13.399999999999999,player_rebounds_over_under,7.5
Keyonte George,7.520000000000003,player_rebounds_over_under,2.5
Kris Dunn,5.520000000000003,player_rebounds_over_under,2.5
Lauri Markkanen,45.89,player_rebounds_over_under,8.5
Zion Williamson,13.100000000000001,player_rebounds_over_under,5.5
Blake Wesley,45.900000000000006,player_rebounds_over_under,2.5
De'Aaron Fox,49.129999999999995,player_rebounds_over_under,4.5
Trey Lyles,46.650000000000006,player_rebounds_over_under,4.5
Ausar Thompson,45.93000000000001,player_points_over_under,6.5
Jordan Poole,48.28,player_points_over_under,16.5
Danuel House Jr.,26.760000000000005,player_points_over_under,5.5
Fred Vanvleet,35.230000000000004,player_points_over_under,15.5
Blake Wesley,42.45,player_points_over_under,5.5
Jarred Vanderbilt,45.86,player_points_over_under,6.5
Jaime Jaquez Jr.,42.290000000000006,player_assists_points_rebounds_over_under,13.5
Christian Braun,6.329999999999998,player_assists_points_rebounds_over_under,7.5
Nicolas Batum,48.28,player_assists_points_rebounds_over_under,16.5
Walker Kessler,39.17,player_assists_points_rebounds_over_under,14.5
Karl-Anthony Towns,13.700000000000003,player_assists_points_rebounds_over_under,39.5
Taurean Prince,43.120000000000005,player_assists_points_rebounds_over_under,14.5
Alec Burks,14.299999999999997,player_assists_over_under,1.5
Donte Divincenzo,6.329999999999998,player_assists_over_under,2.5
Duncan Robinson,33.5,player_assists_over_under,1.5
Jaime Jaquez Jr.,6.909999999999997,player_assists_over_under,1.5
Jamal Murray,5.549999999999997,player_assists_over_under,7.5
Kelly Oubre Jr.,9.11,player_assists_over_under,1.5
Kentavious Caldwell-Pope,15.430000000000007,player_assists_over_under,1.5
Marcus Morris Sr.,34.010000000000005,player_assists_over_under,1.5
Mikal Bridges,8.689999999999998,player_assists_over_under,3.5
Jrue Holiday,38.33,player_assists_over_under,4.5
Kawhi Leonard,6.390000000000001,player_assists_over_under,3.5
Jonas Valanciunas,12.030000000000001,player_assists_over_under,1.5
Anthony Edwards,5.990000000000002,player_assists_over_under,5.5
