timestamp,handicap,odds,participant,participant_name,name,description
2024-01-27T17:15:07,2.5,105,,,Bojan Bogdanovic Over 2.5,Bojan Bogdanovic Over 2.5 Player Assists Over/Under
2024-01-27T17:57:09,3.5,110,19385.0,Bojan Bogdanovic,Bojan Bogdanovic Over 3.5,Bojan Bogdanovic Over 3.5 Player Assists Over/Under
2024-01-27T18:16:03,4.5,160,,,Bojan Bogdanovic Over 4.5,Bojan Bogdanovic Over 4.5 Player Assists Over/Under
2024-01-27T18:36:12,10.5,-160,,,Cade Cunningham Over 10.5,Cade Cunningham Over 10.5 Player Assists Over/Under
2024-01-27T18:40:04,11.5,115,,,Cade Cunningham Over 11.5,Cade Cunningham Over 11.5 Player Assists Over/Under
2024-01-27T17:12:05,6.5,-120,,,Cade Cunningham Over 6.5,Cade Cunningham Over 6.5 Player Assists Over/Under
2024-01-27T17:27:04,7.5,-160,,,Cade Cunningham Over 7.5,Cade Cunningham Over 7.5 Player Assists Over/Under
2024-01-27T17:48:04,8.5,105,16124.0,Cade Cunningham,Cade Cunningham Over 8.5,Cade Cunningham Over 8.5 Player Assists Over/Under
2024-01-27T18:24:23,9.5,-165,,,Cade Cunningham Over 9.5,Cade Cunningham Over 9.5 Player Assists Over/Under
2024-01-27T18:12:04,2.5,-130,16943.0,Deni Avdija,Deni Avdija Over 2.5,Deni Avdija Over 2.5 Player Assists Over/Under
2024-01-27T17:54:06,3.5,150,16943.0,Deni Avdija,Deni Avdija Over 3.5,Deni Avdija Over 3.5 Player Assists Over/Under
2024-01-27T17:39:08,4.5,110,,,Deni Avdija Over 4.5,Deni Avdija Over 4.5 Player Assists Over/Under
2024-01-27T18:12:04,1.5,-145,16125.0,Jaden Ivey,Jaden Ivey Over 1.5,Jaden Ivey Over 1.5 Player Assists Over/Under
2024-01-27T18:03:04,2.5,125,,,Jaden Ivey Over 2.5,Jaden Ivey Over 2.5 Player Assists Over/Under
2024-01-27T17:24:18,3.5,120,,,Jaden Ivey Over 3.5,Jaden Ivey Over 3.5 Player Assists Over/Under
2024-01-27T17:09:16,4.5,130,,,Jaden Ivey Over 4.5,Jaden Ivey Over 4.5 Player Assists Over/Under
2024-01-27T17:15:07,1.5,-200,,,Jalen Duren Over 1.5,Jalen Duren Over 1.5 Player Assists Over/Under
2024-01-27T17:12:05,2.5,140,,,Jalen Duren Over 2.5,Jalen Duren Over 2.5 Player Assists Over/Under
2024-01-27T17:15:07,3.5,115,,,Jordan Poole Over 3.5,Jordan Poole Over 3.5 Player Assists Over/Under
2024-01-27T18:40:04,4.5,165,,,Kyle Kuzma Over 4.5,Kyle Kuzma Over 4.5 Player Assists Over/Under
2024-01-27T17:48:04,5.5,120,16168.0,Kyle Kuzma,Kyle Kuzma Over 5.5,Kyle Kuzma Over 5.5 Player Assists Over/Under
2024-01-27T17:30:10,6.5,-125,16168.0,Kyle Kuzma,Kyle Kuzma Over 6.5,Kyle Kuzma Over 6.5 Player Assists Over/Under
2024-01-27T18:40:04,10.5,-120,,,Tyus Jones Over 10.5,Tyus Jones Over 10.5 Player Assists Over/Under
2024-01-27T18:36:12,11.5,125,,,Tyus Jones Over 11.5,Tyus Jones Over 11.5 Player Assists Over/Under
2024-01-27T17:57:09,7.5,-115,,,Tyus Jones Over 7.5,Tyus Jones Over 7.5 Player Assists Over/Under
2024-01-27T18:28:09,8.5,-170,,,Tyus Jones Over 8.5,Tyus Jones Over 8.5 Player Assists Over/Under
2024-01-27T18:32:06,9.5,-325,,,Tyus Jones Over 9.5,Tyus Jones Over 9.5 Player Assists Over/Under
2024-01-27T17:15:07,2.5,-140,,,Bojan Bogdanovic Under 2.5,Bojan Bogdanovic Under 2.5 Player Assists Over/Under
2024-01-27T17:57:09,3.5,-145,19385.0,Bojan Bogdanovic,Bojan Bogdanovic Under 3.5,Bojan Bogdanovic Under 3.5 Player Assists Over/Under
2024-01-27T18:16:03,4.5,-210,,,Bojan Bogdanovic Under 4.5,Bojan Bogdanovic Under 4.5 Player Assists Over/Under
2024-01-27T18:36:12,10.5,120,,,Cade Cunningham Under 10.5,Cade Cunningham Under 10.5 Player Assists Over/Under
2024-01-27T18:40:04,11.5,-150,,,Cade Cunningham Under 11.5,Cade Cunningham Under 11.5 Player Assists Over/Under
